Timestamp;Test mode;Model;Process_time(s);Accuracy (%);Num Epochs
2025-08-12/18:41:47;zero;gemma2;79.91014309998718;89.58;
2025-08-12/18:43:28;zero;gemma3_1b;76.28010269999504;88.19;
2025-08-12/18:52:11;zero;gemma3n_e2b_it;481.5600740999944;88.89;
2025-08-12/18:56:53;few;gemma2;88.72797329998866;88.89;
2025-08-12/18:58:27;few;gemma3_1b;70.82657050000853;90.97;
2025-08-12/19:05:30;few;gemma3n_e2b_it;379.5351166000037;85.42;
2025-08-12/22:16:02;def;gemma2;99.45802159998856;95.14;
2025-08-12/22:17:39;def;gemma3_1b;70.75964990000648;84.03;
2025-08-12/22:20:53;def;gemma3n_e2b_it;151.99991410000075;86.81;
2025-08-12/22:23:23;def-few;gemma2;108.18106419999094;95.14;
2025-08-12/22:25:12;def-few;gemma3_1b;83.3170562999876;83.33;
2025-08-12/22:28:24;def-few;gemma3n_e2b_it;147.0640854999947;85.42;

2025-08-13/14:21:28;paraph;gemma2;826.9167309000004;88.89;
2025-08-13/14:35:20;paraph;gemma3_1b;803.1527999999998;88.89;
2025-08-13/15:32:22;paraph;gemma3n_e2b_it;843.6496975000009;88.19;

2025-08-15/10:34:33;zero;gemma2_trained_108;88.8233065999957;95.14;3.0
2025-08-15/10:39:52;zero;gemma3_1b_trained_108;102.37780380000186;93.75;4.0
2025-08-15/10:47:41;zero;gemma3n_e2b_it_trained_108;199.99307430000044;92.36;3.0
2025-08-16/01:08:20;zero;gemma2_trained_216;89.13901509999414;95.83;2.0
2025-08-16/01:14:22;zero;gemma3_1b_trained_216;102.4637495999923;95.14;3.0
2025-08-16/01:31:59;zero;gemma3n_e2b_it_trained_216;202.08029169999645;88.89;3.0
2025-08-16/01:38:13;zero;gemma2_trained_324;88.5720879000146;95.83;2.0
2025-08-16/01:44:16;zero;gemma3_1b_trained_324;103.45611600001575;93.75;2.0
2025-08-16/01:59:33;zero;gemma3n_e2b_it_trained_324;198.81458400000705;86.11;2.0
2025-08-16/02:06:36;zero;gemma2_trained_432;88.50139469999704;95.83;2.0
2025-08-16/02:13:30;zero;gemma3_1b_trained_432;103.4031484000152;94.44;2.0
2025-08-16/02:31:32;zero;gemma3n_e2b_it_trained_432;199.32454559998587;92.36;2.0

#alternative dataset
2025-08-17/00:41:38;zero;gemma2;27.221134099992923;77.78;
2025-08-17/00:42:22;zero;gemma3_1b;19.215497800003504;86.11;
2025-08-17/00:44:58;zero;gemma3n_e2b_it;113.46396759999334;95.83;
2025-08-17/00:46:08;few;gemma2;30.61480949999532;83.33;
2025-08-17/15:58:37;few;gemma3_1b;22.28214129999833;87.5;
2025-08-17/00:49:32;few;gemma3n_e2b_it;115.23067170000286;95.83;
2025-08-17/00:50:41;def;gemma2;31.11215280002216;79.17;
2025-08-17/00:51:27;def;gemma3_1b;20.926388099993343;77.78;
2025-08-17/00:57:44;def;gemma3n_e2b_it;334.7377511000086;97.22;
2025-08-17/00:59:01;def-few;gemma2;35.6320772000181;79.17;
2025-08-17/11:09:52;def-few;gemma3_1b;18.93574639999997;90.28;
2025-08-17/01:06:04;def-few;gemma3n_e2b_it;337.36768199998187;95.83;
2025-08-17/01:13:18;paraph;gemma2;389.65956600001664;69.44;
2025-08-17/16:23:27;paraph;gemma3_1b;344.8196989999997;81.94;
2025-08-17/01:29:55;paraph;gemma3n_e2b_it;578.7899134000181;90.28;
2025-08-17/01:33:52;zero;gemma2_trained_58;24.480016800021986;98.61;4.0
2025-08-17/11:05:28;zero;gemma3_1b_trained_58;25.85762829999976;90.28;5.0
2025-08-17/16:50:43;zero;gemma3n_e2b_it_trained_58;169.1757039999975;97.22;4.0
2025-08-17/16:54:54;zero;gemma2_trained_116;23.343048499998982;98.61;3.0
2025-08-17/02:02:27;zero;gemma3_1b_trained_116;24.6065360000066;88.89;3.0
2025-08-17/10:01:53;zero;gemma3n_e2b_it_trained_116;165.2691627999884;97.22;3.0
2025-08-17/10:06:06;zero;gemma2_trained_174;23.38922250000178;98.61;2.0
2025-08-17/10:10:35;zero;gemma3_1b_trained_174;26.896165300015127;88.89;3.0
2025-08-17/10:33:34;zero;gemma3n_e2b_it_trained_174;193.2728482000001;98.61;2.0
2025-08-17/17:32:53;zero;gemma2_trained_232;25.516318399997544;97.22;2.0
2025-08-17/10:42:13;zero;gemma3_1b_trained_232;25.48288639999987;90.28;2.0
2025-08-17/17:47:10;zero;gemma3n_e2b_it_trained_232;165.55515100000048;97.22;2.0



