Timestamp;Test mode;Model;Process_time(s);Accuracy (%);Training Examples per Category
2025-07-17/22:36:31;zero;gemma3_1b_trained;90.88457779999952;90.2;1
2025-07-17/22:38:54;zero;gemma3_1b_trained;82.95864029999939;90.2;2
2025-07-17/22:41:15;zero;gemma3_1b_trained;79.43264170000111;91.18;3
2025-07-17/22:43:31;zero;gemma3_1b_trained;78.1750830000019;90.2;4
2025-07-17/22:45:43;zero;gemma3_1b_trained;77.30795780000335;91.18;5
2025-07-17/22:47:55;zero;gemma3_1b_trained;76.83406649999961;91.18;6
2025-07-17/22:50:07;zero;gemma3_1b_trained;74.26023089999944;90.2;7
2025-07-17/22:52:22;zero;gemma3_1b_trained;76.04723860000013;93.14;8
2025-07-17/22:54:38;zero;gemma3_1b_trained;76.4658586000005;92.16;9
2025-07-17/22:56:58;zero;gemma3_1b_trained;76.68170839999948;92.16;10
2025-07-17/23:30:02;zero;gemma3_1b_trained;77.78240789999836;93.14;1
2025-07-17/23:32:27;zero;gemma3_1b_trained;78.71817129999909;92.16;2
2025-07-17/23:34:57;zero;gemma3_1b_trained;79.33828599999833;90.2;3
2025-07-17/23:37:29;zero;gemma3_1b_trained;80.19405170000027;89.22;4
2025-07-17/23:40:09;zero;gemma3_1b_trained;82.69792789999701;89.22;5
2025-07-17/23:42:55;zero;gemma3_1b_trained;84.7472928999996;85.29;6
2025-07-17/23:45:48;zero;gemma3_1b_trained;86.84879539999747;81.37;7
2025-07-17/23:48:46;zero;gemma3_1b_trained;86.61125760000141;91.18;8
2025-07-17/23:51:49;zero;gemma3_1b_trained;86.33631460000106;87.25;9
2025-07-17/23:54:57;zero;gemma3_1b_trained;84.16417200000069;80.39;10
2025-07-17/23:59:45;zero;gemma3_1b_trained;79.05918340000062;89.22;1
2025-07-18/00:01:56;zero;gemma3_1b_trained;75.50843720000194;93.14;2
2025-07-18/00:04:08;zero;gemma3_1b_trained;72.86819319999995;93.14;3
2025-07-18/00:06:22;zero;gemma3_1b_trained;74.35478530000182;93.14;4
2025-07-18/00:08:37;zero;gemma3_1b_trained;73.87374600000112;91.18;5
2025-07-18/00:10:55;zero;gemma3_1b_trained;74.22560449999946;89.22;6
2025-07-18/00:13:18;zero;gemma3_1b_trained;75.36044860000038;90.2;7
2025-07-18/00:15:43;zero;gemma3_1b_trained;74.45685229999799;91.18;8
2025-07-18/00:18:13;zero;gemma3_1b_trained;76.44423519999691;91.18;9
2025-07-18/00:20:49;zero;gemma3_1b_trained;77.78710180000053;92.16;10
2025-07-18/09:13:26;zero;gemma3_1b_trained;78.71362640000001;85.29;1
2025-07-18/09:17:01;zero;gemma3_1b_trained;73.7940681;87.25;2
2025-07-18/09:20:21;zero;gemma3_1b_trained;71.81444920000001;86.27;3
2025-07-18/09:24:11;zero;gemma3_1b_trained;75.69528579999985;87.25;4
2025-07-18/09:27:54;zero;gemma3_1b_trained;72.69330860000014;92.16;5
2025-07-18/09:31:34;zero;gemma3_1b_trained;71.00907540000003;91.18;6
2025-07-18/09:35:16;zero;gemma3_1b_trained;72.92366330000004;92.16;7
2025-07-18/09:39:14;zero;gemma3_1b_trained;74.17390189999992;95.1;8
2025-07-18/09:43:00;zero;gemma3_1b_trained;71.82537289999982;93.14;9
2025-07-18/09:46:45;zero;gemma3_1b_trained;72.41793460000008;97.06;10
